Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Date,Weekday
14/05/2020,16:00,202.22,204.67,196.54,203.61,15211.41,0.687370191,0.040203739,0.170971710,14/05/2020,Thursday
14/05/2020,20:00,203.61,205.22,202.09,203.23,8216.72,-0.186631305,0.015372526,0.121405751,14/05/2020,Thursday
15/05/2020,00:00,203.37,204.2,197.5,199.6,8194.0,-1.853764075,0.032944879,0.562686567,15/05/2020,Friday
15/05/2020,04:00,199.4,202.08,198.55,201.34,7817.89,0.972918756,0.017703109,0.549575071,15/05/2020,Friday
15/05/2020,08:00,201.23,201.5,198.9,200.69,5346.76,-0.268349650,0.012920539,0.207692308,15/05/2020,Friday
15/05/2020,12:00,200.86,200.86,196.81,197.84729,11927.65,-1.499905407,0.020163298,0.743879012,15/05/2020,Friday
15/05/2020,16:00,197.76,198.97,193.996681,194.823209,10578.53,-1.485027811,0.025148255,0.590509276,15/05/2020,Friday
15/05/2020,20:00,194.77,197.82,191.57,194.6,12930.19,-0.087282436,0.032089131,0.027200000,15/05/2020,Friday
16/05/2020,00:00,194.594165,199.54,193.36,198.87,9666.25,2.197308948,0.031758403,0.691882686,16/05/2020,Saturday
16/05/2020,04:00,198.84,202.37,198.84,199.43,7798.16,0.296720982,0.017752967,0.167138810,16/05/2020,Saturday
16/05/2020,08:00,199.44,201.0,198.51,200.2,5570.92,0.381066988,0.012484958,0.305220884,16/05/2020,Saturday
16/05/2020,12:00,200.2,203.61,199.91,200.5,7809.59,0.149850150,0.018481518,0.081081081,16/05/2020,Saturday
16/05/2020,16:00,200.5,201.16,197.55,200.01,7822.76,-0.244389027,0.018004988,0.135734072,16/05/2020,Saturday
16/05/2020,20:00,200.01,201.74,199.3,200.46,3247.8,0.224988751,0.012199390,0.184426230,16/05/2020,Saturday
17/05/2020,00:00,200.48,202.45,199.79,201.649644,5242.75,0.583421788,0.013268156,0.439715789,17/05/2020,Sunday
17/05/2020,04:00,201.63,202.72,200.67,202.32,8366.13,0.342210981,0.010167138,0.336585366,17/05/2020,Sunday
17/05/2020,08:00,202.21,202.44,200.3,201.12,10416.82,-0.539043569,0.010583057,0.509345794,17/05/2020,Sunday
17/05/2020,12:00,201.12,210.0,201.12,208.88,32341.24,3.858392999,0.044152745,0.873873874,17/05/2020,Sunday
17/05/2020,16:00,208.93,209.43,206.49,207.66,4115.46,-0.607859092,0.014071699,0.431972789,17/05/2020,Sunday
17/05/2020,20:00,207.620646,209.62,205.78,206.9,8025.57,-0.347097465,0.018495270,0.187668229,17/05/2020,Sunday
18/05/2020,00:00,206.97,216.27,206.9,215.05,19182.58,3.903947432,0.045272262,0.862326574,18/05/2020,Monday
18/05/2020,04:00,215.07,217.0,213.7,214.17,9082.04,-0.418468406,0.015343842,0.272727273,18/05/2020,Monday
18/05/2020,08:00,214.167027,215.45,208.79,212.07,30378.13,-0.979154928,0.031097224,0.314868919,18/05/2020,Monday
18/05/2020,12:00,212.1,213.17,209.8,211.061576,7428.41,-0.489591702,0.015888732,0.308137685,18/05/2020,Monday
18/05/2020,16:00,211.065284,213.36,208.72,212.85,15103.11,0.845575343,0.021983720,0.384637069,18/05/2020,Monday
18/05/2020,20:00,212.88,214.85,212.31,214.56,4373.11,0.789177001,0.011931605,0.661417323,18/05/2020,Monday
19/05/2020,00:00,214.59,214.59,209.33,210.01,5851.89,-2.134302624,0.024511860,0.870722433,19/05/2020,Tuesday
19/05/2020,04:00,210.021424,212.48,209.11,211.23,8049.95,0.575453674,0.016045982,0.358627893,19/05/2020,Tuesday
19/05/2020,08:00,211.23,215.68,211.23,212.5,9873.98,0.601240354,0.021067083,0.285393258,19/05/2020,Tuesday
19/05/2020,12:00,212.5,212.69,210.24,212.17,20948.88,-0.155294118,0.011529412,0.134693878,19/05/2020,Tuesday
19/05/2020,16:00,212.16,214.35,211.23,211.31,4790.04,-0.400641026,0.014705882,0.272435897,19/05/2020,Tuesday
19/05/2020,20:00,211.23,214.680252,210.23,214.49,4731.7,1.543341381,0.021068276,0.732542786,19/05/2020,Tuesday
20/05/2020,00:00,214.56,214.88,212.48,213.18,12216.33,-0.643176734,0.011185682,0.575000000,20/05/2020,Wednesday
20/05/2020,04:00,212.62,215.64,211.52,213.32,6703.46,0.329225849,0.019377293,0.169902913,20/05/2020,Wednesday
20/05/2020,08:00,213.28,214.22,212.78,212.9,2108.45,-0.178169542,0.006751688,0.263888889,20/05/2020,Wednesday
20/05/2020,12:00,213.22,214.77,205.96,207.82,67158.5,-2.532595441,0.041318826,0.612939841,20/05/2020,Wednesday
20/05/2020,16:00,207.73,209.67,206.44,209.58,10874.71,0.890579117,0.015549030,0.572755418,20/05/2020,Wednesday
20/05/2020,20:00,209.58,210.652701,209.0,209.640407,4964.18,0.028822884,0.007885776,0.036550471,20/05/2020,Wednesday
21/05/2020,00:00,209.68,211.47,208.55,208.89,5201.47,-0.376764594,0.013925982,0.270547945,21/05/2020,Thursday
21/05/2020,04:00,208.97,210.09,208.16067,208.4,4540.21,-0.272766426,0.009232569,0.295439349,21/05/2020,Thursday
21/05/2020,08:00,208.4,209.51,203.93,207.651538,26311.03,-0.359146833,0.026775432,0.134132975,21/05/2020,Thursday
21/05/2020,12:00,207.83,207.93,196.61,199.28,46720.42,-4.113939277,0.054467594,0.755300353,21/05/2020,Thursday
21/05/2020,16:00,199.229729,200.36,191.7,198.447674,48440.93,-0.392539308,0.043467408,0.090306582,21/05/2020,Thursday
21/05/2020,20:00,198.52,200.6,197.5,198.54,6387.12,0.010074552,0.015615555,0.006451613,21/05/2020,Thursday
22/05/2020,00:00,198.55,199.76,196.26,197.0,3947.27,-0.780659783,0.017627802,0.442857143,22/05/2020,Friday
22/05/2020,04:00,197.05,203.31,196.57,201.94,14637.51,2.481603654,0.034204517,0.725519288,22/05/2020,Friday
22/05/2020,08:00,201.88,204.304355,201.2,203.436721,9523.81,0.771112047,0.015377229,0.501463589,22/05/2020,Friday
22/05/2020,12:00,203.32,205.68,201.26,205.22,11074.97,0.934487507,0.021739130,0.429864253,22/05/2020,Friday
22/05/2020,16:00,205.35,209.29,204.73,207.53,11649.5,1.061602143,0.022205990,0.478070175,22/05/2020,Friday
22/05/2020,20:00,207.77,209.07,205.98,207.49,5455.54,-0.134764403,0.014872214,0.090614887,22/05/2020,Friday
23/05/2020,00:00,207.5,211.5,207.49,209.62,8651.18,1.021686747,0.019325301,0.528678304,23/05/2020,Saturday
23/05/2020,04:00,209.790286,210.36,206.99,208.13,5299.48,-0.791402706,0.016063661,0.492666469,23/05/2020,Saturday
23/05/2020,08:00,208.19,208.198157,205.16,207.24,7591.27,-0.456313944,0.014593194,0.312689568,23/05/2020,Saturday
23/05/2020,12:00,207.22,207.93,204.57,207.87,4291.86,0.313676286,0.016214651,0.193452381,23/05/2020,Saturday
23/05/2020,16:00,207.9,208.285397,205.88,207.37,2316.31,-0.254930255,0.011569971,0.220337849,23/05/2020,Saturday
23/05/2020,20:00,207.33,208.58,206.42,206.715078,2712.37,-0.296590942,0.010418174,0.284686111,23/05/2020,Saturday
24/05/2020,00:00,206.8,209.56,206.11,208.95,4546.67,1.039651838,0.016682785,0.623188406,24/05/2020,Sunday
24/05/2020,04:00,208.98,210.89,208.28,209.48,7287.01,0.239257345,0.012489233,0.191570881,24/05/2020,Sunday
24/05/2020,08:00,209.48,210.51,205.92,206.02,5906.29,-1.651708994,0.021911400,0.753812636,24/05/2020,Sunday
24/05/2020,12:00,206.01,207.3,203.33,205.58,10743.85,-0.208727732,0.019270909,0.108312343,24/05/2020,Sunday
24/05/2020,16:00,205.54,206.79,201.59,206.52,29112.98,0.476792838,0.025299212,0.188461538,24/05/2020,Sunday
24/05/2020,20:00,206.52,207.75,199.51,199.51,16644.85,-3.394344373,0.039899283,0.850728155,24/05/2020,Sunday
25/05/2020,00:00,199.60622,202.8,198.0,202.2,8898.45,1.299448484,0.024047347,0.540370833,25/05/2020,Monday
25/05/2020,04:00,202.23,204.258616,201.2,203.997274,3950.93,0.873893092,0.015124442,0.577801855,25/05/2020,Monday
25/05/2020,08:00,204.0,204.95,201.5,202.5,5139.89,-0.735294118,0.016911765,0.434782609,25/05/2020,Monday
25/05/2020,12:00,202.5,204.2,202.01,202.75,3540.37,0.123456790,0.010814815,0.114155251,25/05/2020,Monday
25/05/2020,16:00,202.79,205.71,202.55,204.87,6854.26,1.025691602,0.015582622,0.658227848,25/05/2020,Monday
25/05/2020,20:00,205.06,205.21,203.51,204.066949,2633.55,-0.484273383,0.008290257,0.584147647,25/05/2020,Monday
26/05/2020,00:00,204.067873,205.0,202.86,204.693521,2464.57,0.306588191,0.010486707,0.292358879,26/05/2020,Tuesday
26/05/2020,04:00,204.69,204.693521,201.84,203.53,1927.23,-0.566710636,0.013940696,0.406515319,26/05/2020,Tuesday
26/05/2020,08:00,203.57,204.21,201.56,202.01,4931.88,-0.766321167,0.013017635,0.588679245,26/05/2020,Tuesday
26/05/2020,12:00,201.84,202.59,196.81,197.73,12139.27,-2.036266350,0.028636544,0.711072664,26/05/2020,Tuesday
26/05/2020,16:00,197.68,200.62,196.7,199.36,6024.5,0.849858357,0.019830028,0.428571429,26/05/2020,Tuesday
26/05/2020,20:00,199.45,203.0,199.44,201.23,5175.7,0.892454249,0.017849085,0.500000000,26/05/2020,Tuesday
27/05/2020,00:00,201.12,202.49,201.03,202.1,2357.93,0.487271281,0.007259348,0.671232877,27/05/2020,Wednesday
27/05/2020,04:00,202.105245,204.49,201.79,202.85,4709.25,0.368498601,0.013359376,0.275835185,27/05/2020,Wednesday
27/05/2020,08:00,202.93,207.26,202.93,206.664352,14757.52,1.840216824,0.021337407,0.862436952,27/05/2020,Wednesday
27/05/2020,12:00,206.76,208.23,205.36,206.23,16123.93,-0.256335848,0.013880828,0.184668990,27/05/2020,Wednesday
27/05/2020,16:00,206.34,208.02,206.27,206.69,4548.64,0.169622952,0.008481148,0.200000000,27/05/2020,Wednesday
